#SampleID	ID1	State	Year	SiteAlias	SampleID2	Collected_Date	WaterbodyName	Latitude	Longitude	COMID	US_L4CODE	US_L3CODE	DIST_Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI_v2_1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN_2008Cat	NO3_2008Cat	InorgNWetDep_2008Cat	NH4_2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST_Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw_fluxCat	WaterInputCat	wdrw_LDCat	WetIndexCat	Temperature_DegC	SpecConductivity_msCm	DO	Tot_Alk	NO3NO2	Chloride	Chla_area	Color_app	TKN	TN	TP	Turbidity	TDS	Chla_conc	pH
PrimeRef_6949		MA	2023	PrimeRef_6949	PrimeRef_6949	8/6/2023	West Branch Farmington River	42.25968084	-73.13270382	6106949	58d	58	BestRef	4.9689	4.9689	43.3264	503.9069	3.025	14.3582	2.2833	4.1509	69.0541	1.1913	0.019	0.1253	2.9369	0.0064	0.1032	140.6314	0.843185793	0.46	0	0.23	91.61	688.096	12.8827	4.8719	2.5356	0.88	85.15	0.04	8.75	0.04	0	5498.5346	4469.556292	1282.301406	12.25058681	7.014641118	-10.94051801	15.72830849	141.9295	693.8919	5.7167	38.877	161.2418	1.0558	9.8017	90.5483	690463.7323	0	0	745.8906	16.1	54.7	9.52	9.2	0.12	3.2	0.0015	29	0.15	0.15	0.005	0.46	30	0.3	6.97
OverRef_6983		MA	2023	OverRef_6983	OverRef_6983	8/6/2023	Benton Brook	42.1860368	-73.10016196	6106983	58d	58	BestRef	8.1864	8.1864	42.694	482.1866	2.781	14.1608	2.7275	4.4479	67.847	1.3842	0.026	0.13	2.8458	0.0079	0.1589	132.0485	0.841203861	0.56	6E-04	0.23	99.93	687.1709	12.8396	4.8564	2.5283	0.92	78.34	0.05	14.2	0.05	0	9036.925735	7399.88186	1283.122007	12.31810732	7.012641565	-11.23303643	16.91373945	137.1376	694.7111	6.21	42.1621	96.6	2.22	4.04	130.17	690672.6161	0	0	745.0475	18.4	71.2	9.07	22	0.05	3.8	0.0024	48	0.966	0.97	0.005	1.1	46	0.379	7.16
PrimeStrs_7023		MA	2023	PrimeStrs_7023	PrimeStrs_7023	8/5/2023	Unnamed Tributary	42.122699	-73.14995	6107023	58d	58	SomeStrs	3.8727	7.5672	45	481.5841	2.0549	13.902	1.9428	5.0556	67.8239	1.571	0.0503	0.1404	2.9953	0.0149	0.3999	100.5255	0.805306652	0.65	0.0067	0.23	100	696.6904	12.997	4.9158	2.5589	1.14	83.94	2.74	5.67	2.74	0	4202.561795	3378.218026	1298.366464	12.48541933	7.649670365	-11.31059728	17.21315705	134.5779	696.8884	6.21	42.19	96.6	2.22	4.04	130.17	690703.1531	4.46E-06	10.3508	787.165	20	8.58	8.58	24.4	0.14	6.7	0.0018	23	0.489	0.63	0.005	0.97	50	0.325	6.98
PrimeStrs_7174		MA	2023	PrimeStrs_7174	PrimeStrs_7174	8/5/2023	West Branch Farmington River	42.070446	-73.061886	6107147	58d	58	SomeStrs	9.027	246.3444	44.3426	377.0776	3.1267	14.3268	3.4133	4.6566	66.6597	1.6847	0.0182	0.1304	2.6169	0.0117	0.4783	152.5295	0.802854432	0.43	0.0067	0.23	67.56	710.3412	13.2159	4.9977	2.601	0.89	87.57	2.32	4.43	2.32	0	10240.68438	8291.151129	1298.334224	13.42667129	7.700398203	-11.49795612	21.00451597	136.994	697	6.0327	40.9477	119.8292	1.8095	6.1105	115.9318	690776	2.42E-05	38.8994	728.5183	20.8	130	9.44	16.2	0.05	19	0.0019	36	3	3	0.005	1.1	68	0.295	7.01
PrimeRef_6366		MA	2023	PrimeRef_6366	PrimeRef_6366	8/1/2023	Tinkerville Brook	42.0170032	-71.7207131	6116366	59c	59	Ref	4.1778	13.9194	51.9834	164.904	3.1329	14.5333	4.1889	5.5876	64.71	2.499	0.0222	0.121	2.8038	0.003	0.0082	175.5256	0.790890536	1.16	0.0078	0.2331	96.85	626.2503	11.6358	4.3709	2.2511	2.22	79.58	2.52	7.99	2.52	0	6649.938865	6104.237328	1259.448967	14.81162479	9.297794246	-9.440736616	20.3512707	94.3218	700	6.1578	48.1696	114.8788	2.9556	10.1242	135.0101	776153	2.86E-05	127.6161	821.5358	20.1	67	9.38	1	0.05	11	0.001	90	0.838	0.84	0.005	0.88	46	0.194	5.9
OverStrs_3709		MA	2023	OverStrs_3709	OverStrs_3709	8/1/2023	Matfield River	42.0311824	-70.9706239	6123709	59e	59	HighStrs	0.8865	79.9416	53	17.9138	1.0791	8.7641	1.4054	2.9556	64.0112	1.3013	0.2169	0.1263	1.6136	0.1243	0.1677	78.6861	0.402065918	13.45	0.0309	0.18	0	567.4448	10.041	3.7489	1.9123	26.8	28.22	15.13	15.23	4.67	10.46	4034.848327	4380.543687	1270.367327	15.8143017	9.972034414	-7.300000191	21.14029044	13.974	668	2.35	72.09	136.77	0.96	32.24	146.05	1206491	0.00041911	234.584	853.0579	20.9	640	7.64	51	1	110	0.0025	48	0.639	1.6	0.047	0.73	290	0.51	6.84
PrimeStrs_4837		MA	2023	PrimeStrs_4837	PrimeStrs_4837	8/1/2023	Rocky Brook	42.02502953	-71.79449349	6144837	59c	59	BestRef	3.3201	4.8735	52	211.8808	3.5388	14.2844	1.3942	1.9991	72.2868	0.453	0.0299	0.1001	4.4825	0.0035	2E-04	188.4987	0.805640901	0.96	0.0042	0.1957	99.35	644.6729	11.9992	4.5093	2.3238	2.03	83.98	0.81	9.47	0.81	0	4820.157977	4392.85937	1231.119809	14.37401787	9.042175562	-9.910870088	18.69378806	91.453	689	5.7044	51.8444	109.3037	1.3107	12.0601	128.2888	393485.7601	1.35E-05	76.6231	787.5102	16.7	43	7.78	1	0.05	5.6	8E-04	15	1	1	0.005	0.22	6.5	0.172	5.2
PrimeRef_6965		MA	2023	PrimeRef_6965	PrimeRef_6965	8/2/2023	Hamant Brook	42.0891252	-72.097519	6146965	59b	59	SubRef	2.2626	6.8265	53	225.8035	1.9172	14.8229	3.474	7.318	61.4019	3.0737	0.0616	0.1541	2.3224	0.0353	0.1937	98.962	0.693134166	4.25	0.0043	0.22	83.49	667.0422	12.4291	4.6823	2.4227	8.59	76.37	2.15	10.3	2.15	0	3396.975883	3032.012206	1288.81256	14.23005259	8.789670319	-10.04248226	18.05666934	99.2047	689	5.8006	51.442	83.7872	0.8167	9.562	140.3552	393382	7.42E-06	64.8157	768.2566	19	303	9.5	20	0.19	71	0.0072	140	3	3.2	0.016	3.4	160	1.29	7.17
OverRef_7631		MA	2023	OverRef_7631	OverRef_7631	8/2/2023	Stevens Brook	42.0580156	-72.18483273	6147631	59b	59	Ref	9.3429	9.3429	52.8194	301.8062	2.0521	14.955	4.1591	7.5524	61.0735	3.2982	0.0624	0.1598	2.1864	0.031	0.1743	110.0888	0.766982201	0.45	0.0084	0.2002	100	668.9284	12.4593	4.6942	2.4293	0.75	80.35	3.42	9	2.4	1.02	13658.37656	12279.91313	1284.87036	13.62743352	8.617253988	-9.771678968	17.50109969	29.5302	688.5334	5.6787	48.6095	131.6789	1.4113	10.9742	129.7542	393382.5125	9.62E-05	137.6568	745.1664	17	76	10.18	8	0.05	12	0.0034	140	0.453	0.45	0.019	7.3	60	0.588	6.92
PrimeStrs_5968		MA	2023	PrimeStrs_5968	PrimeStrs_5968	8/6/2023	Unnamed Tributary	42.538694	-73.333349	6185968	58a	58	SomeStrs	25.7427	50.8248	45.4821	405.8691	1.048	10.6464	9.6267	5.0496	49.7987	2.6334	0.0546	0.1154	2.3881	0.0434	0.0659	103.0551	0.656285713	1.65	0.0482	0.2897	43.28	660.7147	12.5649	4.7314	2.4466	3.22	74.76	15.34	3.28	12.93	2.41	25769.77714	20312.03292	1199.539625	12.86840333	7.126699002	-11.91982321	18.22195927	159.5907	396.5519	12.9882	29.9932	142.0922	1.6966	7.3506	107.2843	522890.4406	0.000244289	42.8258	738.9712	14.4	213	10.23	56.2	0.56	23	0.0029	6	0.503	1.1	0.005	0.51	100	0.593	7.32
PrimeRef_5994		MA	2023	PrimeRef_5994	PrimeRef_5994	8/6/2023	Unnamed Tributary	42.510998	-73.345406	6185994	58a	58	SubRef	7.6689	7.6689	46.0929	434.2415	1.1793	12.1796	6.1922	5.5325	55.2416	2.4164	0.0448	0.119	2.9808	0.0464	0.0571	99.5407	0.715093259	0.63	0.0229	0.3089	56.58	667.6614	12.6632	4.7717	2.47	1.09	89.14	5.24	0.98	4.85	0.39	7309.821366	5694.668951	1219.828066	12.70597776	6.950820967	-11.66219934	16.77276933	163.2508	399.277	15.01	23.3034	153.55	0.91	5.51	84.39	522929.5694	3.31E-05	16.6805	715.5907	15.5	177	9.84	81.2	0.05	2.9	0.0031	2.5	0.32	0.32	0.005	1.1	88	0.632	7.54
PrimeRef_8752		MA	2023	PrimeRef_8752	PrimeRef_8752	8/5/2023	City Brook	42.09527631	-73.46534019	6188752	58a	58	BestRef	1.9539	9.6903	47.4993	469.7721	1.0357	12.6385	7.6449	6.2192	52.1957	2.4743	0.0523	0.1272	2.5917	0.0468	0.1212	76.3177	0.833699305	0.64	0.0027	0.31	100	745.7325	13.9714	5.2943	2.7629	1.34	90.56	0.32	3.64	0.32	0	2216.20193	1772.498679	1258.438518	13.20956122	8.17268928	-11.23615836	16.97645555	185.8522	389	15.01	23.3	153.55	0.91	5.51	84.39	522856	6.48E-07	2.8874	706.6149	14.1	115.6	9.8	8	0.05	11	7E-04	11	0.15	0.15	0.005	0.77	48	0.144	6.59
